id,naslov,cena,velikost,prodajalec,leto,nadstropje
6057348,"LJ. ŠIŠKA, UL. ANE ZIHERLOVE",185000.0,69.9,"Nepremièninska agencija ""TLORIS"" Miro Toriæ s.p., Poslovna enota",1970,1
6059082,"LJ. CENTER, VODMAT - GRABLOVIÈEVA ULICA",185000.0,89.0,Nepremiènine Plus d.o.o.,2006,5
6061220,"LJ. ŠIŠKA, VILA V BLIŽINI ROŽNIKA",185000.0,103.77,"STAN nepremiènine d.o.o., Ljubljana",2010,2
6050974,BROD,185000.0,60.7,Zasebna ponudba,2004,P
6053573,"LJ. BEŽIGRAD, SAVSKI KAMEN",185000.0,56.0,Zasebna ponudba,2007,3
6060426,"LJ. BEŽIGRAD, KRŽIÈEVA ULICA",185000.0,83.0,Zasebna ponudba,1931,3
5988490,"LJ. ŠIŠKA, DRAVLJE",185000.0,100.0,Zasebna ponudba,2004,P
6052821,"DOLGI MOST, VIÈ",184900.0,135.0,Zasebna ponudba,2016,2
6036880,LJ. CENTER,183000.0,73.6,"Stoja trade, d.o.o., Ljubljana",1962,9
6056353,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",181950.0,77.7,MESTO NEPREMIÈNIN d.o.o.,2016,1
5970832,"RUDNIK, BARJANSKA ULICA, TRNOVSKA VRATA",181000.0,54.8,Vilmar nepremiènine d.o.o.,2005,2
6048875,"LJ. MOSTE, ŠTEPANJSKO NASELJE",180000.0,83.0,MESTO NEPREMIÈNIN d.o.o.,1976,3
6057775,NOVE JARŠE,180000.0,150.7,Maridom nepremiènine d.o.o.,1940,VP
6059883,BEŽIGRAJSKI DVOR,180000.0,84.1,"Livo d.o.o., PE nepremièninsko posredovanje",1931,3
6059878,LJ. MOSTE,180000.0,84.0,"Livo d.o.o., PE nepremièninsko posredovanje",1976,3
6060742,LJ. MOSTE,180000.0,84.0,Neptun nepremiènine - Borut Vodopivec s.p.,1976,3
6061010,"LJ. BEŽIGRAD, KRŽIÈEVA",180000.0,84.1,Feniks nepremiènine d.o.o.,1968,4
6046575,"BEŽIGRAJSKI DVOR, KRŽIÈEVA ULICA 6",180000.0,84.0,Zasebna ponudba,1968,4
6060733,"LJ. BEŽIGRAD, MED BEŽIGRAJSKIM DVOROM IN PLAVO LAGUNO",180000.0,84.0,Mreža nepremiènin d.o.o.,1968,3
6001604,VIŽMARJE,179000.0,372.0,"Rebernik nepremiènine, Samo Rebernik s.p.",1926,K+P+1
6054542,"LJ. ŠIŠKA, BRILEJEVA UL., NAKUP BREZ PROVIZ",179000.0,98.8,"Gratek, Kohne in partner k.d.",1983,2
6059254,"JARŠE, ZELO LEPO STANOVANJE",179000.0,79.2,MKA nepremiènine d.o.o.,1982,7
6054170,"ROŽNA DOLINA, NA VIÈU V LJUBLJANI",179000.0,148.0,Zasebna ponudba,1968,1
6025667,ZG. ŠIŠKA,179000.0,107.1,"Stoja trade, d.o.o., Ljubljana",1947,1
6015582,"LJ. VIÈ, LANOVO - ŠKOFLJICA",178950.0,122.9,Nepremiènine Plus d.o.o.,2016,2
6056349,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178950.0,78.5,MESTO NEPREMIÈNIN d.o.o.,2016,2
6056344,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178900.0,78.1,MESTO NEPREMIÈNIN d.o.o.,2016,1
6056346,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178900.0,78.0,MESTO NEPREMIÈNIN d.o.o.,2016,2
6047550,"LJ. ŠIŠKA, KOSEZE - TERASASTI BLOKI",178000.0,76.81,HDS d.o.o.,1978,3
6058108,"LJ. ŠIŠKA, KOSEZE",178000.0,76.2,"STAN nepremiènine d.o.o., Ljubljana",1978,3
6058696,"LJ. ŠIŠKA, KOSEZE - TERASASTI BLOKI",178000.0,76.81,HDS d.o.o.,1978,3
6058441,LJ. BEŽIGRAD,178000.0,84.1,Agencia d.o.o.,1968,3
6058651,"LJ. ŠIŠKA, KOSEZE",178000.0,76.2,"STAN nepremiènine d.o.o., Ljubljana",1978,3
6055743,RAKOVNIK,176000.0,47.63,Rocco nepremiènine d.o.o.,2016,1
6058636,LJ. ŠIŠKA,176000.0,70.9,"INBA, nepremièninska družba, d.o.o.",1964,2
6044705,"LJ. BEŽIGRAD, PERIÈEVA 7",175000.0,78.0,DARMAL d.o.o.,1967,5
6046744,"ZUPANÈIÈEVA JAMA, ŠTIHOVA ULICA",175000.0,68.5,Rojal invest d.o.o.,2000,3
6050745,"LJ. MOSTE, FUŽINE - ATRIJSKO",175000.0,69.6,KU-MI nepremiènine d.o.o.,1986,P
6021674,"FUŽINE, ATRIJSKO",175000.0,70.0,KU-MI nepremiènine d.o.o.,2015,P
6054146,"BTC, ŠMARTINSKA CESTA 72, ATRIUM",175000.0,58.8,Apolonij d.o.o.,2009,1
6055491,"LJ. ŠIŠKA, VIŽMARJE, Z VRTOM",175000.0,84.0,"Erjavec nepremiènine, Erjavec Dušan s.p.",1955,VP
6059816,LJ. ŠIŠKA,175000.0,69.0,Enepremiènine Ana Ocvirk s.p.,1974,10
6059557,LJ. ŠIŠKA,175000.0,95.6,MKA nepremiènine d.o.o.,1978,5
6040392,"ŠTEPANJSKO NASELJE, NUSDORFERJEVA",175000.0,76.0,Domart RE d.o.o.,ni podatka,P
6061060,"LJ. BEŽIGRAD, HERBERSTEINOVA ULICA",174000.0,87.5,Real Go d.o.o.,2002,3
6050485,"LJ. VIÈ, VRHOVCI",173000.0,95.0,Hiša nepremiènine 1 d.o.o.,2001,2
6060631,"RUDNIK, KNEZOV ŠTRADON, ATRIJSKO",173000.0,56.5,PREMIER NEPREMIÈNINE posredovanje d.o.o.,2008,P
6035645,LJ. ŠIŠKA,173000.0,77.0,ABC nepremiènine d.o.o.,1982,ni podatka
6015575,"LJ. VIÈ, LANOVO - ŠKOFLJICA",172500.0,65.3,Nepremiènine Plus d.o.o.,2016,1
6059771,"LJ. BEŽIGRAD, VOJKOVA, BLIZU LINHARTOVE",172000.0,76.0,"Erjavec nepremiènine, Erjavec Dušan s.p.",1980,2
6012713,ŠMARTNO POD ŠMARNO GORO,170000.0,96.4,"STAN nepremiènine d.o.o., Ljubljana",1992,1
6001232,"LJ. CENTER, FRIŠKOVEC",170000.0,106.0,Arcimboldo d.o.o.,1929,PK
6047211,"LJ. CENTER, TABOR",170000.0,106.0,LJUBLJANA NEPREMIÈNINE d.o.o.,1920,PK
6050227,LJ. BEŽIGRAD,170000.0,114.3,"Advice, d.o.o.",1927,1
6045389,"KOSEZE, TERASASTI BLOKI, BRATOV UÈAKAR",170000.0,78.1,Damijan Meško s.p.,1978,3
6059692,"LJ. BEŽIGRAD, BEŽIGRAJSKI DVOR - PERIÈEVA",170000.0,90.0,"JA Invest, d.o.o.",1956,4
6032030,"TACEN, ODLIÈNA, BLIZU AC IN LPP, ATRIJ",170000.0,114.03,"REMAX Vogal, Nepremièninska družba, d.o.o.",2009,P
6060808,DRAVLJE,170000.0,80.0,Eventum d.o.o.,1974,1
5967372,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",169850.0,85.04,LIN nepremiènine d.o.o.,2017,2
6032283,"LJ. BEŽIGRAD, STANIÈEVA ULICA",169000.0,166.0,"Abstract nepremiènine, Igor Kerin s.p.",1960,1
5930594,LJ. BEŽIGRAD,169000.0,65.0,LJUBLJANA NEPREMIÈNINE d.o.o.,1984,VP
5936334,LJ. BEŽIGRAD,169000.0,97.8,ABC nepremiènine d.o.o.,1933,1
6059953,LJ. MOSTE,168500.0,84.6,"STAN nepremiènine d.o.o., Ljubljana",1968,1
6059137,LJ. MOSTE,168500.0,84.6,"Panorama 360, Katja Gložanèev s.p.",1968,1
5634772,"ŠTEPANJSKO NASELJE, NUSDORFERJEVA",167000.0,80.0,"Komfort skupina d.o.o., nepremiènine",2012,ni podatka
6048689,"ÈRNUÈE, NASELJE SAVSKI BREG",167000.0,66.0,"NIONA, Nina Rangus s.p.",2009,2
6051211,DOBRUNJE,167000.0,85.0,Moneta Invest d.o.o.,1985,M
6054023,"LJ. MOSTE, VODMAT",167000.0,67.8,LJUBLJANA NEPREMIÈNINE d.o.o.,1935,1
6060440,ÈRNUÈE,167000.0,66.0,LJUBLJANA NEPREMIÈNINE d.o.o.,2009,2
6049890,ÈRNUÈE,167000.0,66.0,Viping d.o.o.,2009,2
6050636,ŠTEPANJSKO NASELJE,167000.0,86.0,Zasebna ponudba,1974,4
6048360,"LJ. BEŽIGRAD, LINHARTOVA CESTA",166800.0,81.7,Gradex nepremiènine d.o.o.,1961,13
5967375,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",166180.0,81.51,LIN nepremiènine d.o.o.,2017,3
5967374,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",165710.0,81.07,LIN nepremiènine d.o.o.,2017,3
5991535,RAKOVNIK,165000.0,129.0,"Dom domis, Živa Logar, s.p.",1930,P+M
5996627,"LJ. VIÈ, RAKOVNIK",165000.0,125.0,MESTO NEPREMIÈNIN d.o.o.,1930,P
5952176,"LJ. VIÈ, TRŽAŠKA",165000.0,67.0,"Moja vila, Tina Dolinar s.p.",2004,P
6023327,"LJ. MOSTE, KAJUHOVA",165000.0,70.7,Pun nepremiènine d.o.o.,1967,11
6038053,LJ. ŠIŠKA,165000.0,86.0,"Salomon nepremiènine, Anže Nahtigal, s.p.",1967,1
6044323,"ZG. ŠIŠKA, LJ., ŠIŠENSKA ULICA",165000.0,92.0,"Vlado Babiæ s.p., poslovna enota ATLAS NEPREMIÈNINE",1910,1
6045706,"FUŽINE, OSENJAKOVA",165000.0,87.0,Nepremiènine Plus d.o.o.,1988,4
6041439,KOSEZE,165000.0,92.0,Senon d.o.o.,2007,1
6039454,"LJ. BEŽIGRAD, BRATOVŠEVA PLOŠÈAD",165000.0,71.2,LJUBLJANA NEPREMIÈNINE d.o.o.,1972,11
6055819,"LJ. MOSTE, BLIŽINA KC IN KODELJEVEGA",165000.0,63.8,Rocco nepremiènine d.o.o.,1972,3
6055464,"LJ. BEŽIGRAD, BRATOVŠEVA PLOŠÈAD",165000.0,74.8,MESTO NEPREMIÈNIN d.o.o.,1978,11
6053078,DRAVLJE,165000.0,76.6,"Nepremièninska agencija ""TLORIS"" Miro Toriæ s.p., Poslovna enota",1983,3
6057713,"LJ. CENTER, BLIZU VILE URBANA",165000.0,40.0,MESTO NEPREMIÈNIN d.o.o.,1970,6
6059075,LJ. BEŽIGRAD,165000.0,69.0,Za nepremiènine d.o.o.,2008,VP
6060413,LJ. MOSTE,165000.0,63.8,"REMAX Vogal, Nepremièninska družba, d.o.o.",1972,3
6060999,"LJ. BEŽIGRAD, ŠARHOVA ULICA",165000.0,77.2,"Dodoma d.o.o., PE Ljubljana",1964,3
6061089,"LJ. BEŽIGRAD, PERIÈEVA ULICA",165000.0,78.0,Mernet d.o.o.,1967,4
6061279,"SP. ŠIŠKA, ZOFKE KVEDROVE",165000.0,75.0,ARHCOM nepremiènine d.o.o.,1948,2
6036838,TABOR,165000.0,106.7,Zasebna ponudba,1929,ni podatka
6054209,LJ. CENTER,165000.0,42.4,Atrium nepremiènine d.o.o.,1970,ni podatka
6040711,LJ. BEŽIGRAD,165000.0,77.2,ABC nepremiènine d.o.o.,1940,VP
5967377,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",164910.0,76.84,LIN nepremiènine d.o.o.,2017,P
6059820,"LJ. BEŽIGRAD, BRATOVŠEVA PLOŠÈAD - RAZGLED",164900.0,74.1,"JA Invest, d.o.o.",1975,11
5967369,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",163642.63,82.84,LIN nepremiènine d.o.o.,2017,1
5967381,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",163240.0,74.42,LIN nepremiènine d.o.o.,2017,P
6054214,LJ. ŠIŠKA,162600.0,84.1,"Stoja trade, d.o.o., Ljubljana",2009,5
6058751,"LJ. CENTER, BREG",162500.0,54.0,FIRMA nepremiènine Martinoviæ & Co. k.d.,1760,2
6053694,LJ. ŠIŠKA,162200.0,91.7,"Stoja trade, d.o.o., Ljubljana",2009,5
5990842,"LJ. CENTER, STARA",162000.0,54.0,Zasebna ponudba,1760,2
5967371,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",161922.81,79.69,LIN nepremiènine d.o.o.,2017,2
5967367,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",161070.0,81.07,LIN nepremiènine d.o.o.,2017,1
6052812,"LJ. CENTER, ZRAVEN VILE URBANA SAMOSTOJNI",161000.0,50.0,Zasebna ponudba,1970,5
6053692,LJ. ŠIŠKA,161000.0,76.5,"Stoja trade, d.o.o., Ljubljana",2009,7
6044178,"DOBRUNJE, PODMOLNIK - ZAVRŠJE",160000.0,110.0,"24-ur.eu, Dean Daraboš s.p.",1990,P
5982626,FUŽINE,160000.0,87.0,Gradex nepremiènine d.o.o.,1987,1
6031488,"LJ. VIÈ, TRNOVO",160000.0,76.0,"Abstract nepremiènine, Igor Kerin s.p.",1933,1
5954285,ŠENTVID,160000.0,69.32,LJUBLJANA NEPREMIÈNINE d.o.o.,1954,VP
6051054,"LJ. BEŽIGRAD, REBOLJEVA ULICA",160000.0,78.5,Mernet d.o.o.,2000,4
6054331,"LJ. MOSTE, ZALOG",160000.0,82.2,Rocco nepremiènine d.o.o.,1960,2
6060613,"LJ. MOSTE, ŠTEPANJSKO NASELJE",160000.0,64.8,MESTO NEPREMIÈNIN d.o.o.,1978,10
6050483,LJ. CENTER,160000.0,70.9,"Stoja trade, d.o.o., Ljubljana",1930,ni podatka
6058421,"ŠTEPANJA VAS, BILEÈANSKA ULICA 5",160000.0,65.0,Zasebna ponudba,1978,10
5935461,LJ. BEŽIGRAD,160000.0,78.8,Domart RE d.o.o.,1980,4
6050862,"BROD, SOSESKA OSMICA",159533.0,48.81,Medvešek Pušnik Nepremiènine d.o.o.,2016,1
6049562,"LJ. MOSTE, FUŽINE, RUSJANOV TRG",159000.0,74.2,Studio modul d.o.o.,1986,4
6051798,"LJ. BEŽIGRAD, MAROLTOVA UL.",159000.0,77.7,"MA - nepremièninska družba, Marko Aliè s.p.",1979,3
6031712,DRAVLJE,159000.0,79.8,Optima nepremiènine d.o.o.,1983,5
6056330,"LJ. CENTER, GRADIŠÈE",159000.0,70.0,ALEA nepremièninska družba d.o.o.,1962,1
6058042,"LJ. ŠIŠKA, DRAVLJE",159000.0,76.6,MESTO NEPREMIÈNIN d.o.o.,1983,5
6060947,BROD,159000.0,57.8,Zasebna ponudba,2009,M
6004359,"LJ. MOSTE, LE STRELJAJ OD CENTRA",159000.0,69.0,Zasebna ponudba,1987,P
6053693,LJ. ŠIŠKA,158500.0,74.3,"Stoja trade, d.o.o., Ljubljana",2009,6
6030279,ÈRNUÈE,158000.0,85.1,LJUBLJANA NEPREMIÈNINE d.o.o.,1988,3
6044606,LJ. ŠIŠKA,158000.0,79.1,Rocco nepremiènine d.o.o.,1978,7
6051130,"LJ. BEŽIGRAD, ÈRNUÈE, POLANŠKOVA",158000.0,85.12,Mernet d.o.o.,1988,3
6040723,ÈRNUÈE,158000.0,85.12,PAK INVEST d.o.o.,1988,3
6058217,"ZG. ŠIŠKA, CELOVŠKA CESTA, BLIŽINA LPP",157000.0,63.0,Rojal invest d.o.o.,1970,2
6042145,ÈRNUÈE,157000.0,85.1,"STAN nepremiènine d.o.o., Ljubljana",1988,3
6053697,LJ. ŠIŠKA,156700.0,91.7,"Stoja trade, d.o.o., Ljubljana",2009,2
6054324,LJ. MOSTE,156000.0,62.7,SKYNEP nepremiènine d.o.o.,2016,VP
6054327,LJ. MOSTE,156000.0,65.5,SKYNEP nepremiènine d.o.o.,2016,1
6059601,"LJ. ŠIŠKA, NASPROTI KINO",156000.0,82.5,"Lobodas, posredništvo in storitve d.o.o., PE Kostanjevica na Krki",1932,M
6059857,"LJ. ŠIŠKA, OBIRSKA ULICA",156000.0,82.0,"Lobodas, posredništvo in storitve d.o.o., PE Kostanjevica na Krki",1938,M
6061164,"LJ. CENTER, KOLODVORSKA ULICA",156000.0,56.2,COOP nepremiènine d.o.o.,1988,5
6060003,"LJ. CENTER, - NOVE POLJANE",156000.0,42.2,Zasebna ponudba,1998,1
6019975,LJ. CENTER,155000.0,65.7,Agencia d.o.o.,1989,2
6017955,"LJ. BEŽIGRAD, DUNAJSKA",155000.0,96.5,METROPOLA IN d.o.o.,2003,ni podatka
6043150,"LJ. MOSTE, KODELJEVO",155000.0,69.6,MESTO NEPREMIÈNIN d.o.o.,1946,1
6022395,"LJ. CENTER, GORNJI TRG",155000.0,65.7,Rocco nepremiènine d.o.o.,1763,2
6003202,LJ. CENTER,155000.0,65.7,Novi list d.o.o.,1763,ni podatka
6013598,"LJ. ŠIŠKA, GOSPODINJSKA ULICA",155000.0,102.3,"Salomon nepremiènine, Anže Nahtigal, s.p.",1950,1
6042426,"LJ. MOSTE, KODELJEVO",155000.0,67.5,LJUBLJANA NEPREMIÈNINE d.o.o.,1946,1
6022573,"TACEN, ODLIÈNA, ATRIJ",155000.0,97.74,"REMAX Vogal, Nepremièninska družba, d.o.o.",2009,P
