id,leto,nadstropje
6059136,1995,3
6059143,1995,3
6054311,2009,2
5921468,1968,1
6049691,1964,5
6061373,1978,2
6055248,1978,2
6033159,1976,3
6052194,1963,1
6061606,1958,2
6032433,1976,2
6048968,1960,3
6010475,2008,3
6059665,1969,4
6061151,1979,3
6051485,1971,6
6050472,1971,6
6040759,1973,9
5984075,1984,1
6052111,1940,VP
6051699,1960,3
6011206,1950,2
6053082,1950,1
6059619,1912,2
6059761,1988,VP
6059554,2006,1
6059161,2006,1
6060059,2009,5
6060590,2009,5
6060775,1933,1
5820096,2009,P
6057184,1910,1
5970259,1969,4
6059551,2009,5
6058605,2006,1
6045818,2000,1
6056474,2008,1
6059545,1975,6
6058646,1997,P
6055867,1896,3
6058127,1960,3
6060553,1975,2
6042357,2000,P
6012027,2000,P
6039786,2009,PK
6048756,1900,1
6059048,1946,P
6059663,2008,1
6059582,2008,1
6059664,2008,1
6059839,2008,1
6059860,1940,VP
6059844,2006,1
6059875,2000,P
6060326,1973,9
6060720,2008,1
6059764,1972,3
5793489,1930,1
6058904,1946,P
6033172,1973,9
6010408,2000,P
6044816,1960,1
6058887,2008,1
6059715,2008,1
6054680,2000,P
6060529,1946,P
6058368,1909,P
6047832,1972,1
6021526,1968,M
6055467,1972,4
6046125,1972,9
6049610,1972,9
6059017,1973,9
6057107,1976,2
6049715,1973,9
6052002,1960,2
6045036,1960,1
6054792,1960,1
5797964,2009,1
6061566,1985,P
6054563,1985,VP
5994751,1976,P+1
6057910,1982,9
6055199,1972,3
6055572,1972,3
5797957,2009,2
5786406,2009,1
5929561,1975,4
6060659,2000,3
6044826,1900,P
6054839,1972,3
6049966,1975,1
6055521,1972,3
6055564,1982,9
6049571,1980,VP
6059000,1980,VP
6061560,1981,VP
5986682,1981,VP
6051535,1981,VP
6054676,1980,VP
6035352,2006,3
6033622,1937,PK
5598092,1900,1
6010372,2006,3
6053088,2009,P+1
6039320,1927,1
6029758,1961,P
6051928,1982,15
6056870,1939,PK
6059838,1906,M
6058135,1933,VP
6011790,2006,1
6011278,1960,P
6057764,2010,M
6060804,1978,8
6045453,1927,PK
6053699,2009,4
6059818,1940,PK
6056424,1940,PK
6060314,1976,1
6016590,2007,1
6058170,1988,3
6010176,1975,VP
6046169,1918,P
6054557,1988,2
6060672,1991,1
5914852,1940,PK
6043043,1912,3
6055731,1900,P
6054057,2011,VP
6040067,2011,VP
6058100,1969,3
6058870,1969,3
6059059,1969,3
6061094,1964,VP
6054533,1958,5
6058379,2010,P
6044011,1973,VP
6047326,1950,M
5910432,1964,VP
6050425,1960,4
6052177,1968,9
6053809,1956,5
6056862,1961,4
6057017,1969,3
6057008,1974,4
6054633,1950,M
6053666,1984,1
5967393,2017,2
6056964,1938,PK
5967396,2017,3
6051163,2007,P
6061340,2007,1
6034519,1963,1
5898257,1940,PK
6060679,2008,P
5924595,2008,P
6043946,1988,3
6038663,2008,M
5990733,1928,P
6054091,2010,1
6059832,1983,9
6058626,1984,10
6060424,1984,10
6058608,1984,9
6061108,1961,4
6035292,1965,1
6015435,1931,1
6058513,1919,2
6054304,2007,P
6055876,1982,3
6057110,1965,4
6054932,2015,1
6038854,1960,PK
6054771,2009,5
6025792,1978,7
5991810,1974,3
5941263,1974,3
6059962,1966,4
6057417,1966,4
6016440,1998,P
6060661,1973,4
6035237,1974,7
6041038,1978,13
6048318,1978,13
6060319,1968,2
6060020,1969,3
6041722,1981,3
6056984,1974,4
6053916,1914,1
6059181,1974,4
6049878,2009,M
5995936,1920,1
6059257,1976,4
6058946,1976,4
6058342,2008,5
5417407,2001,2
6054776,2009,P
6053698,2009,P
6033485,1996,3
6019194,1972,1
6049768,1913,PK
6059891,1913,PK
6047362,2005,PK
6012237,1963,9
6059132,1966,1
6054774,2009,6
6053695,2009,5
6054773,2009,4
6019394,1982,2
6044374,2000,2
6039554,2009,M
5932572,1950,P
6027327,1983,4
6055450,1896,2
6058118,1983,2
6052399,1983,2
6061600,1965,5
6050086,1933,PK
6029756,1961,M
6054902,1935,PK
6051293,2004,1
6046985,1730,4
6056847,1985,5
6026366,1961,K
